"﻿""SKU""",Товар,"Единица измерения",Цена
sku_4fb7922a,"Светодиод быстрого монтажа 0.8 Вт зеленый, Китай",RUB,2222222
sku_faeaefdf,"Светодиодный модуль GLANZEN RPD-6500-24-14-MR,",RUB,245
sku_4beef054,"Светодиодный модуль GLANZEN RPD-6500-28-22-MR,",RUB,235
sku_7c5298f3,"Светодиодный модуль GLANZEN RPD-6500-36-18-MS,",RUB,234
sku_0ee40314,"Светодиодный модуль GLANZEN RPD-6500-36-19-MR,",RUB,300
sku_956522c0,"Блок питания DC12 150W 12.5A ,",RUB,665
sku_18028415,"Блок питания DC12 200W 16.5A ,",RUB,850
sku_7133f0e9,"Блок питания для с/д  ленты 12В  15Вт (200), LEEK",RUB,200
sku_cebf0270,"Блок питания для с/д  ленты 12В  25Вт (100), LEEK",RUB,260
sku_d88247bd,"Блок питания для с/д  ленты 12В  60Вт (120), LEEK",RUB,374
sku_196a43d4,"Блок питания для с/д  ленты 12В 100Вт (40),",RUB,565
